candidate,period,scenario,net_usd,account_return_pct,drawdown_usd,intraday_low_drawdown_usd,closed_episodes,fees_usd
sma_eth-010,later_2025,base,-135.12775592385515,-1.3512775592385506,665.8139028532714,691.9957225327798,9,142.5927981614576
sma_eth-010,later_2025,cost,-182.233000151944,-1.8223300015194455,693.842067886837,719.7848518065166,9,177.547392022447
sma_eth-010,later_2025,delay,-48.928227384174534,-0.48928227384174017,690.2880449901131,716.3496527987918,9,143.3663776010728
sma_eth-010,later_2025,combined,-96.95114465746337,-0.9695114465746335,723.6839873244498,749.5072286609702,9,178.50444604346401
sma_eth-010,recent_2026,base,-308.46053645757274,-3.084605364575732,390.6970590443416,407.26169177630254,17,263.40112366617115
sma_eth-010,recent_2026,cost,-395.3368280823943,-3.9533682808239434,445.58136321728307,461.9628812945157,17,326.99478725149504
sma_eth-010,recent_2026,delay,-449.35184429237415,-4.4935184429237385,480.48272049422667,489.9612767447634,17,260.8562402901776
sma_eth-010,recent_2026,combined,-534.2960294169025,-5.3429602941690195,559.8725192544389,569.2239122394403,17,323.84932081079705
sma_eth-015,development,base,-218.80894711354267,-2.1880894711354237,437.69801415592156,462.0128790111212,9,140.00299382764078
sma_eth-015,development,cost,-265.040488743025,-2.6504048874302466,466.2475330477628,490.36463766125416,9,174.17192894992098
sma_eth-015,development,delay,-101.40633012877333,-1.0140633012877376,364.5170654765243,393.0141299838742,9,141.2946406030744
sma_eth-015,development,combined,-148.92776782552028,-1.4892776782552075,399.04271656765195,427.29851676712497,9,175.847008071718
sma_eth-015,later_2025,base,-156.9232376590844,-1.5692323765908456,673.5022533681404,706.9658689647276,9,142.36735541688162
sma_eth-015,later_2025,cost,-203.8532679979653,-2.0385326799796544,706.7598487993109,739.9008361946726,9,177.266267710166
sma_eth-015,later_2025,delay,-66.40037814858988,-0.6640037814859001,674.5558660295665,705.9421845779871,9,143.2651787030888
sma_eth-015,later_2025,combined,-114.24352973408895,-1.1424352973408936,708.086745827457,734.2663120125817,9,178.379016041789
sma_eth-015,recent_2026,base,-278.47257643026023,-2.784725764302598,382.79352981281045,399.3870478745648,16,249.026669986264
sma_eth-015,recent_2026,cost,-360.63956754088395,-3.6063956754088355,437.88557464349833,454.2954017628108,16,309.237428067785
sma_eth-015,recent_2026,delay,-219.92957313250372,-2.199295731325035,284.71033141069347,301.28785667065495,16,250.97946418220405
sma_eth-015,recent_2026,combined,-302.8463007447135,-3.0284630074471353,346.8782384517017,357.28287646895296,16,311.653690623007
sma_eth-020,development,base,-178.70328473791596,-1.7870328473791552,403.1041251554234,427.4924237034247,8,124.9947389304136
sma_eth-020,development,cost,-220.0368837401511,-2.200368837401512,432.14820206550394,456.3508474256487,8,155.540538273649
sma_eth-020,development,delay,-133.16846528491988,-1.3316846528491966,392.59892139817566,421.0129331404896,8,125.00656337941844
sma_eth-020,development,combined,-174.94113643018682,-1.7494113643018672,421.7187359806594,449.90780052753325,8,155.57468030328502
sma_eth-020,later_2025,base,-70.4850044555169,-0.704850044555172,546.6711385868693,568.7789107651606,7,111.4372600430184
sma_eth-020,later_2025,cost,-107.56852904928564,-1.075685290492856,570.4507676000903,592.3682259475336,7,138.860963874787
sma_eth-020,later_2025,delay,132.51818350172834,1.3251818350172861,397.9442810659639,461.9784836166709,7,113.07586120767041
sma_eth-020,later_2025,combined,94.1001624130513,0.9410016241305108,417.3482254167375,470.26334801178746,7,140.96450573564704
sma_eth-020,recent_2026,base,-202.05109738199826,-2.020510973819978,355.35549019184145,372.01284932206727,9,140.0066919491952
sma_eth-020,recent_2026,cost,-248.4725703696331,-2.4847257036963333,389.95919528886225,406.4674805122704,9,174.177078591731
sma_eth-020,recent_2026,delay,-236.6941859685303,-2.366941859685301,328.11116270171624,344.6150030688859,9,139.8693850143328
sma_eth-020,recent_2026,combined,-282.7782613879099,-2.827782613879104,362.9325560625912,379.2884828504957,9,174.00670184770803
sma_eth-030,development,base,166.46965655365238,1.6646965655365165,226.41850740949485,258.69281123017936,4,65.17115868394721
sma_eth-030,development,cost,143.75855698336272,1.4375855698336215,230.4680582008441,262.56671124145214,4,81.20975758963802
sma_eth-030,development,delay,261.39164720165536,2.613916472016564,187.98321704579757,220.7741990364484,4,65.96539294384561
sma_eth-030,development,combined,238.0853245163289,2.3808532451632836,192.26805524845804,224.8805621199299,4,82.198252203171
sma_eth-030,later_2025,base,226.67368185349187,2.266736818534909,606.5244985163263,631.9636099362724,6,97.83415632650882
sma_eth-030,later_2025,cost,193.13642142180106,1.931364214218001,630.1846958261867,655.4838907338763,6,121.962871396398
sma_eth-030,later_2025,delay,228.4123680878456,2.284123680878447,665.7131425299049,678.4138097685081,6,97.848177705752
sma_eth-030,later_2025,combined,194.86816365129744,1.9486816365129833,689.0606232758873,701.6926877593432,6,121.98036414320302
sma_eth-030,recent_2026,base,-180.56121700660515,-1.805612170066051,328.9617947062561,345.66447729115316,10,155.996014012208
sma_eth-030,recent_2026,cost,-232.45000278034786,-2.3245000278034778,363.79949093132564,380.35248126634906,10,194.01527572904706
sma_eth-030,recent_2026,delay,-227.33260089979922,-2.273326008997989,306.55074457471346,320.165987245593,10,155.9404299300016
